Percent Data,1,2,3,4,5,6,7,8,9,10
10,58.8,62.8,66.66666667,67.2,68,66.8,76.13333333,73.2,70.26666667,73.6
20,70.8,77.6,79.2,78.13333333,77.46666667,77.86666667,74.66666667,80.4,80,80.26666667
30,69.86666667,80.8,80.26666667,83.6,86,85.46666667,83.46666667,84.53333333,82.8,83.73333333
40,79.33333333,84.26666667,83.06666667,85.6,86.13333333,85.46666667,84.93333333,87.06666667,86.13333333,86.66666667
50,78.8,84.93333333,85.06666667,87.33333333,87.86666667,88.13333333,88.26666667,87.86666667,87.86666667,88.26666667
60,79.73333333,88,87.2,88.66666667,87.46666667,87.86666667,88.4,89.73333333,89.06666667,89.46666667
70,84.26666667,88.53333333,88.93333333,87.6,88.53333333,90.13333333,89.33333333,88.4,90,89.46666667
80,81.86666667,87.73333333,89.33333333,89.73333333,89.06666667,89.73333333,89.6,90.4,89.86666667,89.6
90,87.73333333,88.93333333,89.46666667,90.26666667,89.86666667,89.73333333,89.6,89.46666667,91.46666667,90.53333333
100,86.8,89.06666667,90.66666667,91.33333333,91.06666667,90.4,90.4,90.8,91.46666667,90.53333333