Percent Data,1,2,3,4,5,6,7,8,9,10
10,0.073778624,0.148102432,0.225665873,0.290606768,0.410415685,0.441242401,0.505235386,0.596119726,0.769112826,0.703649312
20,0.174742512,0.314201585,0.494060853,0.558366328,0.792411503,0.855628537,1.007919618,1.202674437,1.355593761,1.417962167
30,0.218854389,0.446475662,0.694163082,0.841909953,1.187481852,1.283473015,1.511325508,1.814503604,2.001900042,2.122000506
40,0.294820382,0.625534868,0.901391705,1.130062796,1.623533899,1.739081396,1.978882796,2.235160196,2.970135648,2.915185378
50,0.358865876,0.809977508,1.242957309,1.414266292,2.092244018,2.237920163,2.485491998,2.810847058,3.736768914,3.68596043
60,0.43555904,0.920932919,1.41057616,1.673047021,2.397886989,2.717009818,3.167321694,3.43116863,4.345047382,4.40210469
70,0.500251128,1.044129518,1.907663027,1.966891055,2.949305732,3.223322606,4.059198516,4.072980389,5.139757424,5.231773738
80,0.568972578,1.226073646,2.108139402,2.276489136,3.370269,3.60031931,4.459126401,4.486964506,5.425291264,5.93224108
90,0.669810914,1.330136939,2.263319469,2.602498898,3.635749353,3.959712471,4.534629792,5.003760556,6.498733207,6.376088759
100,0.755088189,1.49318713,2.576702699,2.870935486,3.990785171,4.304426446,5.086442499,5.552217027,7.010893775,6.916585813